#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
1189.90,1130.24,1892.81,1642.36
1009.47,1111.80,1898.85,1621.20
977.60,1228.27,1889.75,1624.18
971.88,1131.03,1894.57,1636.46
988.77,1284.73,1887.55,1679.03
995.27,1229.72,1873.79,1561.02
946.61,1094.93,1878.67,1483.74
738.61,1159.56,1835.63,1264.15
851.99,849.39,1542.29,882.68
661.59,838.79,1584.66,880.18
669.83,871.49,1588.76,1012.51
680.30,877.24,1558.41,911.30
669.22,910.22,1599.79,951.56
665.84,1002.24,1869.91,973.03
673.36,1003.11,1662.03,1228.95
770.55,1154.06,1783.95,1110.39
908.83,1102.05,1738.73,1076.13
936.23,1222.32,1783.24,1124.13
1089.82,1221.70,1828.49,1109.56
888.94,1207.04,2023.70,1106.05
919.39,1135.67,2066.17,1167.40
795.15,1182.91,1966.05,1216.57
812.87,1239.66,1953.33,1421.02
802.62,1249.10,1941.67,1421.14
1072.44,1148.08,1414.94,913.45
812.29,826.32,1185.49,508.65
751.55,750.92,1167.95,459.05
991.06,905.30,1262.68,582.27
1359.81,946.41,1221.66,617.77
851.12,1023.24,1241.40,655.83
830.10,1329.76,1243.56,602.68
833.22,1207.45,1344.48,745.88
996.51,1127.84,1766.85,775.90
782.68,1253.72,1692.24,747.62
790.33,1107.20,1702.44,728.27
1097.15,1106.97,1698.84,869.22
810.80,1057.22,1691.37,849.34
816.69,1108.65,1689.86,871.60
823.34,1134.68,1679.64,861.70
799.96,1028.81,1670.22,887.87
800.51,1026.80,1680.32,844.80
764.95,1036.47,1652.21,778.79
893.41,1036.83,1634.80,733.93
814.64,1036.78,1636.68,770.66
803.78,1039.14,1618.20,953.70
802.21,1038.17,1614.17,965.09
821.65,1046.73,1618.44,989.41
879.59,1046.96,1611.31,980.72
1246.65,1062.77,1610.88,986.48
819.64,1055.47,1607.73,983.29
821.36,1055.41,1608.29,983.24
823.01,1056.46,1607.30,986.11
817.20,1057.55,1601.33,989.27
810.24,1058.80,1594.92,1021.41
986.72,1060.19,1599.70,1044.79
824.13,1061.41,1598.73,1045.10
807.98,1064.63,1596.01,1054.73
817.54,1054.13,1586.56,1052.68
826.22,1049.51,1592.91,1045.27
851.93,1056.97,1596.68,1035.97
984.67,1057.94,1592.36,1045.93
849.29,1065.82,1584.48,1061.45
830.41,1067.67,1585.25,1042.54
847.93,1053.11,1584.43,1111.37
879.60,1056.80,1589.53,1149.67
1101.17,1053.08,1612.02,1150.99
856.61,1029.56,1614.66,1143.66
851.52,1025.73,1616.93,1145.93
844.23,1048.96,1608.46,1150.21
850.35,1044.04,1609.56,1142.67
846.30,1044.52,1610.39,1172.42
848.15,1054.86,1613.64,1123.71
877.92,1062.25,1605.95,1095.33
853.14,1050.37,1605.63,1056.02
848.37,1040.77,1607.27,1042.41
846.34,1035.08,1607.44,1008.62
847.09,1045.99,1607.42,1120.73
1043.20,1047.72,1605.08,1086.32
1277.03,1050.13,1606.84,1147.59
1292.66,1049.36,1608.52,1104.15
854.37,1055.47,1606.45,1046.44
826.72,1050.09,1602.77,1061.01
827.66,1050.51,1597.10,1052.11
829.23,1052.12,1596.20,1137.23
821.39,1049.55,1594.67,1176.56
812.85,1052.20,1594.15,1084.06
802.80,1053.55,1591.73,1058.04
800.53,1049.49,1593.00,1140.71
921.95,1083.23,1604.05,1116.70
862.34,1031.23,1546.30,831.39
894.80,912.39,1388.77,808.97
1075.35,870.55,1383.51,933.04
1152.02,888.28,1366.60,953.48
970.03,887.37,1398.70,850.51
843.09,886.10,1398.71,841.59
1267.99,897.34,1377.64,798.63
897.41,888.05,1399.02,740.04
868.53,889.08,1394.02,734.97
991.84,931.37,1369.66,766.53
873.53,1045.49,1399.80,802.34
869.38,1065.86,1397.16,810.91
872.07,1192.86,1406.27,795.79
873.11,954.89,1410.39,821.52
855.60,1044.53,1409.46,835.14
850.24,943.67,1407.51,843.11
938.71,947.92,1409.57,893.73
871.58,946.78,1407.74,819.09
872.18,944.33,1402.43,824.36
872.34,944.28,1405.06,821.80
878.01,947.50,1408.20,823.82
1095.73,948.93,1403.95,817.73
970.84,946.97,1401.02,817.66
918.69,943.54,1400.76,816.72
886.11,938.10,1399.47,821.07
880.03,950.44,1406.80,819.56
878.78,945.92,1404.92,824.97
871.83,969.10,1403.17,828.51
865.97,973.37,1403.34,818.78
866.19,972.40,1405.07,808.75
867.34,971.14,1403.23,806.34
852.84,968.26,1402.30,799.50
851.48,968.23,1402.46,805.45
849.80,969.26,1399.13,822.03
855.03,967.41,1396.29,843.95
852.57,966.44,1400.32,892.18
860.03,969.14,1399.23,886.72
861.29,968.95,1392.24,861.45
921.62,965.97,1397.31,906.98
907.11,968.56,1394.78,897.12
1115.83,968.72,1391.89,899.41
975.61,969.51,1391.02,882.15
1011.47,968.29,1390.65,881.19
1008.72,969.72,1390.36,885.17
978.97,969.91,1388.63,893.34
868.21,957.66,1393.36,881.18
875.14,972.27,1403.04,891.47
866.57,971.13,1405.05,890.33
865.16,969.93,1403.60,877.67
865.59,969.43,1403.78,901.48
873.93,969.53,1400.48,1017.44
856.90,970.41,1376.83,1015.47
856.79,968.40,1375.31,1011.50
855.41,955.02,1376.45,1024.17
861.71,971.17,1380.20,961.59
859.72,970.05,1377.67,943.30
860.18,957.74,1377.99,926.54
847.70,965.74,1379.03,937.42
845.38,963.21,1377.58,923.66
849.49,962.86,1377.72,926.74
1153.44,966.51,1379.41,958.71
849.22,976.32,1382.29,950.86
856.75,1201.34,1398.08,954.77
858.21,1010.46,1406.45,951.42
853.48,1014.46,1404.53,949.85
849.05,1018.42,1405.78,950.47
852.37,1015.71,1403.25,950.25
852.21,1014.19,1401.05,949.09
853.64,1005.17,1401.29,949.54
854.06,1004.33,1399.16,951.52
864.72,993.28,1399.45,957.30
871.26,995.53,1391.36,954.85
1037.21,994.22,1391.74,955.93
1037.17,993.18,1392.07,955.28
1043.40,1011.89,1381.87,983.34
