#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
278.18,237.54,186.55,176.18
265.07,236.28,186.57,214.78
226.51,236.19,184.47,309.61
240.93,234.32,182.55,358.64
229.96,234.55,181.79,188.01
228.94,231.73,182.40,189.71
237.68,231.97,182.70,216.85
524.70,234.80,178.91,169.21
501.87,198.40,175.18,185.13
302.53,411.73,173.19,162.18
279.17,262.97,175.71,178.75
392.23,213.21,175.18,160.97
293.40,215.58,174.24,158.74
342.52,216.57,169.68,159.11
415.36,443.20,179.96,151.65
295.39,490.24,172.65,137.91
340.12,521.59,173.29,135.45
520.91,466.13,183.31,112.27
495.14,393.55,184.65,100.59
424.24,266.33,187.96,106.93
337.54,254.05,185.13,109.52
731.35,539.59,191.76,111.23
315.37,253.17,190.12,125.11
445.67,211.15,195.15,122.79
524.71,208.81,196.33,123.86
383.18,208.04,196.77,122.75
559.72,321.01,198.08,124.13
362.86,386.16,195.91,127.69
234.69,380.46,197.79,131.59
550.56,403.50,199.14,138.55
231.16,216.32,198.32,137.49
219.36,214.99,198.04,136.57
220.99,216.56,198.04,140.35
221.17,215.65,195.25,138.56
244.82,213.84,193.96,137.27
437.69,214.08,193.95,138.60
493.14,212.85,194.82,135.49
325.27,269.48,195.19,132.82
624.42,271.23,194.88,133.99
605.03,271.36,194.26,136.30
484.32,269.05,193.52,135.80
1016.53,269.83,192.87,135.40
683.98,272.87,194.21,135.32
604.45,271.30,192.70,135.76
731.88,269.59,191.96,136.49
430.34,282.54,192.85,137.48
311.98,288.93,191.45,136.35
337.16,289.80,190.89,135.89
384.85,293.54,191.52,134.73
412.35,560.63,191.89,133.60
317.17,212.37,193.96,133.40
385.24,212.82,196.32,133.15
394.86,215.03,196.46,132.82
293.58,213.99,196.65,133.91
283.76,212.68,195.62,133.74
270.65,213.29,195.18,134.18
385.12,212.71,196.52,134.10
433.52,211.01,203.10,132.77
398.67,211.29,202.00,133.30
278.02,211.07,200.91,133.24
362.95,212.54,205.62,142.26
346.85,220.60,203.18,139.88
474.18,275.37,202.10,141.10
506.73,265.42,205.59,141.60
588.36,246.77,197.03,141.65
497.99,258.95,197.18,151.26
370.23,427.08,196.51,157.22
539.67,327.77,196.40,156.65
232.48,328.78,196.59,156.57
231.46,362.42,198.12,155.04
230.87,284.49,198.18,156.68
220.80,264.67,198.96,154.25
227.29,257.45,198.58,156.27
321.61,256.92,197.96,154.74
294.97,258.22,195.49,155.05
219.16,279.48,196.98,156.07
279.75,272.23,196.49,156.13
716.28,273.50,196.38,156.21
371.98,396.46,193.68,156.08
562.99,322.07,191.85,155.43
359.51,318.42,190.60,154.93
292.27,379.76,192.21,154.64
405.01,325.58,191.31,152.76
239.09,339.13,192.34,152.32
225.99,246.45,193.88,153.49
226.68,209.18,193.87,152.54
234.73,207.93,193.33,154.84
460.27,489.55,192.49,153.37
315.07,488.67,192.61,151.04
513.26,202.84,192.30,153.62
609.91,203.07,192.75,159.86
415.86,203.34,192.23,161.26
463.77,204.76,191.99,159.25
328.96,212.80,195.43,159.86
460.48,221.54,202.26,156.10
303.24,255.79,201.01,151.29
237.40,256.68,201.72,151.09
269.08,254.78,205.01,152.87
313.89,252.82,204.75,154.52
329.34,253.10,203.71,154.88
313.04,251.48,203.34,154.59
589.97,278.17,203.21,154.48
538.46,206.60,204.23,154.98
448.45,210.71,201.93,154.49
530.95,273.97,203.87,159.46
326.11,291.13,201.40,158.73
410.61,616.38,197.06,160.13
416.16,615.73,193.57,158.68
268.48,303.05,192.31,155.55
446.73,277.65,193.31,156.15
437.69,220.21,192.13,160.32
455.83,221.60,193.30,159.01
559.72,219.76,197.04,157.32
367.37,215.53,198.70,155.58
281.20,220.55,197.57,152.62
520.09,439.33,199.51,144.01
337.19,623.32,200.26,145.59
401.19,424.06,206.54,142.46
222.49,318.79,206.78,148.04
251.86,470.04,203.96,144.90
271.14,252.17,200.91,147.43
285.05,248.26,202.44,145.85
484.80,244.37,203.58,145.84
253.88,248.34,204.22,145.77
246.99,248.18,199.68,146.18
245.12,247.68,199.30,145.13
285.18,247.87,197.87,146.76
222.02,260.67,197.12,148.52
243.55,239.29,198.99,147.34
221.04,229.00,198.37,146.80
328.29,243.74,197.36,147.05
236.26,241.12,196.49,146.60
230.58,239.82,196.35,150.48
228.87,238.96,196.57,150.38
229.38,239.40,196.19,149.74
407.53,271.98,196.61,151.95
383.38,327.17,196.36,153.05
386.05,280.04,196.35,152.11
322.12,250.04,196.40,150.24
234.45,212.62,196.36,151.54
253.01,214.85,200.26,152.88
233.29,206.85,196.12,154.23
258.92,253.51,196.69,153.85
603.21,496.25,194.66,153.91
358.73,609.61,193.18,153.54
405.10,700.69,193.28,156.35
304.51,499.08,193.37,149.29
272.30,423.02,193.89,151.90
233.07,412.29,194.15,151.99
319.12,413.67,194.29,152.54
427.72,632.43,195.38,151.12
222.12,462.48,195.13,153.60
218.86,205.29,194.89,152.11
225.77,203.68,194.98,152.51
559.92,202.26,195.01,152.62
243.90,202.93,195.05,146.42
229.85,202.52,193.99,147.79
250.12,202.84,194.40,142.40
247.92,201.94,194.61,141.52
251.54,202.46,194.65,142.23
253.64,202.51,195.02,141.62
321.78,203.23,195.15,143.99
274.80,202.36,194.62,141.85
244.65,202.20,195.26,140.29
351.17,288.33,194.59,141.88
546.66,551.36,196.20,142.78
