#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
655.86,238.40,819.36,421.05
662.47,239.66,833.60,431.41
659.72,240.18,861.41,426.54
656.30,240.71,872.21,424.30
654.07,241.40,866.38,424.45
652.16,241.02,862.92,434.38
654.97,241.84,863.03,436.15
660.73,243.12,867.24,433.99
657.17,246.68,862.93,434.80
659.37,246.52,867.61,428.39
658.73,245.95,838.61,434.55
665.42,246.79,874.96,437.92
662.02,247.76,871.97,437.64
663.66,248.59,878.32,429.39
660.68,249.01,881.12,436.28
660.50,249.18,851.27,438.89
666.07,248.84,883.16,433.26
663.35,250.60,862.46,436.46
665.70,250.06,867.47,433.92
662.79,249.93,858.65,435.39
665.28,249.07,880.34,432.12
664.05,246.84,878.67,433.39
671.89,245.52,873.92,437.25
672.91,244.20,869.03,434.00
675.29,244.21,863.11,437.39
672.98,244.18,861.22,435.39
673.14,243.53,860.12,435.08
672.54,244.04,863.33,432.58
674.59,244.10,869.42,431.48
671.92,244.23,855.30,434.23
672.95,243.35,851.73,433.23
670.86,243.13,849.68,432.93
671.56,243.31,847.34,431.71
673.42,243.85,851.58,434.05
675.15,243.93,835.59,433.67
675.03,243.89,834.55,432.95
673.98,243.93,850.16,434.65
671.76,244.93,860.90,434.87
672.78,244.83,861.47,433.86
673.34,244.98,858.30,432.99
674.83,244.18,862.68,433.32
670.53,245.17,878.75,430.58
672.47,245.50,864.39,431.67
674.68,245.25,840.70,428.54
671.93,245.14,865.98,433.31
672.18,244.99,867.07,433.12
671.99,246.13,866.14,435.08
671.95,245.45,867.43,434.05
671.33,244.49,876.20,435.42
672.05,245.13,874.23,427.48
671.26,244.81,872.73,426.98
670.32,244.91,830.36,434.83
673.07,245.79,839.46,436.75
673.73,245.11,844.76,436.62
672.59,246.37,845.10,437.26
673.70,246.79,843.06,438.99
672.44,247.16,840.72,439.46
670.72,247.15,836.66,438.92
670.65,247.57,838.18,437.99
668.52,248.14,836.21,438.27
668.92,249.35,844.24,435.80
670.96,249.10,843.66,433.78
674.66,250.59,838.81,433.40
668.54,249.19,851.53,436.11
669.58,249.74,846.95,435.41
671.15,250.30,847.72,434.81
667.45,249.37,849.17,433.80
665.84,249.09,847.53,435.27
666.73,248.74,847.17,439.31
666.80,248.33,847.34,436.09
664.30,248.96,858.25,436.95
668.87,249.50,857.43,432.81
669.60,250.01,860.61,433.80
666.69,249.22,855.68,433.55
668.89,249.51,855.05,436.87
668.10,249.54,858.22,435.89
671.34,249.36,848.59,434.21
671.97,248.73,847.36,436.32
674.30,248.60,861.15,435.98
671.51,249.25,861.06,436.79
670.12,249.87,853.30,437.23
671.55,250.02,853.37,441.11
668.46,250.62,853.22,442.23
670.54,250.45,839.71,443.52
666.79,251.20,841.95,443.16
669.15,251.49,830.28,443.73
672.80,250.81,828.26,442.18
667.93,248.82,827.96,442.39
671.70,250.41,835.92,441.04
670.61,249.80,845.84,440.61
673.14,248.75,842.95,443.13
671.80,249.12,843.45,443.50
673.70,248.63,843.55,446.19
677.45,249.26,839.53,448.07
672.46,248.74,836.98,447.89
674.94,248.74,835.73,446.70
671.34,248.73,835.22,447.87
671.09,249.90,840.52,449.35
668.98,248.07,840.99,448.67
671.13,248.60,840.21,447.48
668.29,248.96,840.28,448.16
667.25,248.87,839.38,447.65
668.93,248.51,840.17,446.48
671.52,248.05,838.62,446.48
671.80,248.13,837.64,444.70
667.73,248.92,838.56,445.48
671.15,248.82,832.46,446.87
669.90,248.48,827.09,445.51
670.30,248.37,830.24,445.16
671.15,247.90,830.32,443.86
673.34,248.44,830.68,445.11
672.56,248.90,833.36,446.56
671.92,248.88,839.99,446.51
670.59,248.49,842.47,444.42
671.91,248.73,844.57,442.73
669.46,247.47,863.62,444.08
670.03,248.19,862.28,443.21
668.72,249.24,852.86,443.89
669.64,248.49,851.76,443.87
669.74,248.63,853.43,445.05
672.39,247.32,853.59,441.43
670.79,247.58,854.03,441.27
670.64,246.93,848.17,441.36
673.28,246.70,843.80,445.52
672.78,247.24,839.65,443.95
673.91,247.10,836.31,445.20
671.41,245.90,845.85,445.70
668.30,246.98,849.34,447.31
668.84,246.36,846.72,446.43
667.08,245.85,836.14,447.20
666.83,246.21,841.04,448.33
669.05,245.93,849.13,448.32
667.21,246.65,848.26,448.08
668.09,246.84,867.77,449.79
668.88,247.01,866.21,450.83
667.93,247.29,867.07,449.72
664.26,247.27,872.47,449.24
664.30,246.82,878.84,449.65
666.75,246.85,878.76,451.47
669.65,247.05,881.71,450.86
664.41,247.05,879.65,451.17
666.12,246.66,877.50,448.42
664.05,246.63,874.05,450.13
664.72,246.30,866.49,449.22
665.93,246.45,866.54,448.33
666.53,247.05,864.89,447.86
667.91,246.48,860.61,448.56
666.43,246.39,853.69,448.48
671.18,246.23,847.43,447.99
672.74,245.03,844.99,447.22
672.98,245.60,845.64,449.24
673.02,245.30,845.89,449.95
675.27,247.87,854.26,451.15
678.13,247.63,853.75,450.95
681.45,246.91,860.20,450.54
700.78,256.02,890.29,478.21
701.46,256.52,898.58,477.37
698.16,257.06,891.66,474.99
700.02,257.33,889.40,476.07
700.53,255.32,892.16,473.17
699.21,255.68,893.89,470.35
695.47,255.94,896.44,472.21
695.68,256.45,884.96,472.57
