#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
1020.98,1245.85,1937.45,1791.10
998.53,1231.39,1906.14,1878.19
980.55,1263.94,1922.20,1723.54
980.13,1234.53,1899.61,1634.61
970.23,1202.96,1769.21,1562.41
932.52,1217.41,1781.23,1601.57
939.61,1174.93,1805.48,1582.80
958.90,1178.01,1803.99,1597.92
983.05,1123.89,1835.18,1645.71
1042.23,1145.26,1848.06,1585.90
1084.50,1171.74,1853.45,1598.26
1074.11,1208.97,1893.16,1615.46
1080.15,1166.57,1949.13,1575.01
1084.43,1174.60,1928.42,1662.19
1088.10,1214.56,1917.44,1724.47
1082.48,1181.07,1907.19,1740.45
1073.10,1261.51,1962.52,1863.07
1095.50,1290.97,2011.81,1815.43
1071.13,1275.24,1979.97,1718.67
1068.10,1278.88,1909.73,1613.49
1072.48,1229.51,1858.96,1483.10
1068.53,1216.17,1825.22,1471.86
1066.47,1247.85,1875.10,1484.11
1067.01,1241.68,1912.69,1524.18
1063.58,1250.51,1865.49,1583.22
1058.57,1273.71,1884.06,1565.32
1064.64,1265.16,1876.26,1578.61
1067.45,1266.23,1808.51,1574.34
1060.60,1283.03,1863.40,1601.46
1054.32,1272.26,1838.20,1580.84
1063.68,1252.63,1855.96,1519.52
1041.19,1246.64,1871.20,1551.28
1087.19,1242.44,1901.19,1575.92
1088.55,1215.62,1938.14,1580.51
1067.06,1219.82,1877.81,1550.79
1049.03,1260.59,1919.55,1621.84
1050.06,1276.15,1939.92,1599.16
1056.01,1232.97,1962.41,1614.82
1049.57,1237.97,1928.48,1639.59
1067.45,1245.40,1896.84,1615.31
1065.34,1249.06,1924.93,1605.04
1052.39,1236.26,1947.00,1662.02
1042.80,1243.61,1933.59,1645.74
1076.36,1279.81,1903.90,1641.88
1075.20,1313.94,1921.29,1620.99
1079.33,1281.77,1965.88,1691.24
1081.64,1268.18,1955.90,1649.56
1081.37,1250.73,1884.19,1664.20
1084.01,1224.31,1976.98,1625.08
1086.34,1208.97,1983.60,1614.57
1089.81,1206.55,2012.90,1624.40
1091.99,1227.19,2014.40,1631.53
1091.90,1220.86,2019.77,1636.82
1090.99,1226.05,1934.51,1609.95
1094.81,1226.56,2006.86,1581.18
1091.98,1194.00,2033.93,1648.95
1094.34,1202.02,2028.71,1718.04
1092.43,1205.50,2039.33,1744.93
1110.97,1201.91,2040.59,1715.22
1110.20,1242.17,2010.24,1840.50
1093.87,1233.50,1966.47,1910.60
1098.87,1241.40,1960.96,1882.20
1096.54,1226.92,1958.28,1848.44
1090.98,1239.56,1970.31,1716.41
1093.11,1234.44,1964.68,1773.19
1099.81,1213.66,1963.89,1743.82
1104.52,1319.55,1984.33,1668.01
1102.16,1325.82,2010.56,1740.86
1139.33,1499.78,1973.14,1844.74
1154.56,1534.54,2040.06,1906.45
1153.52,1502.69,1947.60,1806.44
1143.81,1487.20,1944.39,1751.55
1140.35,1470.04,1942.86,1733.98
1137.51,1421.70,1943.89,1807.13
1130.08,1462.89,1927.12,1814.77
1131.37,1444.80,1949.99,1797.56
1131.42,1416.18,2000.69,1830.66
1111.02,1449.81,1966.34,1761.68
1109.11,1414.55,1956.02,1790.22
1111.94,1402.81,1967.63,1791.71
1111.65,1427.45,1936.19,1802.17
1111.53,1446.16,1934.71,1772.74
1131.21,1442.47,1896.44,1824.88
1132.15,1427.82,1987.95,1764.43
1126.90,1490.92,1930.78,1761.79
1131.31,1497.59,1941.48,1750.94
1127.40,1513.44,1988.87,1678.16
1131.23,1503.73,1932.85,1698.32
1128.73,1496.70,1972.14,1710.81
1127.93,1444.77,1945.52,1663.06
1127.81,1458.31,1980.21,1714.06
1129.95,1491.45,1979.68,1783.97
1130.12,1425.22,1952.94,1837.28
1132.68,1451.34,1958.05,1831.68
1136.67,1456.72,1960.38,1823.82
1133.35,1454.05,1932.19,1820.44
1142.08,1436.87,1957.35,1810.10
1142.56,1414.91,1959.86,1841.79
1143.33,1411.58,1972.27,1856.56
1154.37,1392.75,1969.07,1802.53
1155.39,1394.51,1979.68,1806.04
1152.81,1395.18,1970.78,1784.72
1154.93,1396.54,1973.86,1780.45
1153.44,1393.94,1972.81,1779.64
1154.84,1395.56,1972.45,1796.49
1155.30,1400.73,1972.43,1788.96
1156.89,1420.65,1979.66,1763.38
1163.74,1450.39,1975.76,1792.18
1161.23,1443.89,1989.93,1834.82
1161.73,1439.38,1967.30,1801.97
1160.03,1466.71,1981.56,1832.98
1162.55,1459.79,1974.59,1724.34
1165.38,1395.18,1985.77,1737.76
1160.06,1411.55,1981.71,1744.79
1168.15,1411.89,1985.01,1740.80
1166.93,1406.14,2002.21,1741.93
1165.34,1405.33,1966.36,1742.22
1164.94,1401.80,1956.58,1726.48
1161.95,1403.08,1947.17,1738.03
1157.94,1405.11,1940.97,1730.72
1162.95,1405.91,1937.56,1729.98
1164.96,1422.93,1939.65,1727.65
1158.05,1418.27,1960.26,1737.94
1159.68,1399.76,1966.63,1740.32
1161.22,1422.58,1981.26,1727.44
1158.98,1455.20,1969.53,1718.54
1157.63,1484.11,1966.46,1736.22
1163.98,1479.65,1973.69,1742.36
1166.70,1467.01,1988.95,1743.98
1165.00,1459.91,1988.74,1759.22
1161.91,1499.26,1938.68,1706.06
1157.78,1474.82,1938.05,1691.05
1157.02,1429.54,1947.94,1717.22
1149.99,1417.24,1968.96,1737.99
1151.18,1425.57,1977.33,1736.29
1145.41,1421.96,1968.80,1741.82
1149.44,1426.82,1949.55,1895.03
1145.76,1419.81,1923.04,1906.26
1153.33,1412.42,1958.84,1796.45
1149.02,1434.70,1951.39,1878.17
1152.96,1413.01,1952.40,1830.68
1154.29,1436.84,1957.21,1857.25
1150.88,1429.44,1956.54,1828.25
1149.06,1422.71,1957.04,1898.82
1148.89,1406.86,1971.78,1895.69
1148.18,1423.01,1975.73,1905.06
1144.86,1403.25,1987.26,1977.46
1145.08,1389.55,1980.95,1987.65
1148.02,1389.10,1984.64,1978.71
1150.56,1389.86,1987.24,2075.92
1149.28,1398.10,1988.96,1957.35
1144.13,1467.53,2019.94,1845.26
1139.33,1457.35,2006.56,1814.72
1142.86,1487.48,2001.15,1826.69
1141.56,1501.96,1990.59,1822.93
1141.52,1548.03,1985.27,1819.13
1143.66,1527.23,2027.36,1825.85
1146.31,1517.86,2036.43,1824.08
1146.02,1507.36,2035.62,1808.10
1143.51,1494.53,2037.16,1866.36
1144.53,1506.14,2016.91,1855.16
1143.98,1502.85,2003.13,1860.69
1141.79,1502.92,2001.42,1862.22
1144.37,1502.75,2017.21,1865.19
1144.37,1494.47,2031.09,1854.75
