#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
231.40,201.46,153.09,158.01
259.73,179.29,155.54,156.08
304.73,192.43,155.79,163.04
332.10,243.73,150.57,154.24
267.92,539.21,145.69,162.99
229.40,601.21,142.26,165.81
225.90,345.93,144.21,171.35
226.65,313.99,148.82,171.73
250.51,690.22,147.30,173.78
272.56,668.78,146.60,174.19
257.68,583.58,145.49,170.12
240.91,620.96,149.18,167.62
249.55,524.51,148.98,171.11
251.07,450.01,150.30,171.43
230.10,454.61,150.35,169.39
243.50,447.29,149.76,170.77
278.77,448.57,151.82,164.96
461.49,492.10,151.48,167.35
763.35,557.48,150.59,166.84
321.23,606.75,149.34,165.21
314.73,655.08,149.95,165.14
379.73,498.96,153.34,165.01
357.96,185.44,152.80,165.90
236.25,185.60,154.29,165.91
231.28,185.36,154.49,166.34
234.24,186.40,155.13,163.57
264.73,186.66,154.07,164.50
272.36,186.30,153.61,168.85
278.77,186.46,153.36,166.54
429.49,184.54,155.83,166.84
281.13,249.70,155.90,166.87
288.04,1289.59,156.25,167.62
488.78,2786.23,163.12,171.15
381.11,539.19,172.20,186.54
322.85,556.71,182.66,226.90
418.92,331.74,190.49,708.35
489.83,276.37,185.93,392.95
452.66,4115.48,176.34,214.91
382.61,4115.48,174.99,180.54
393.89,4115.48,176.00,191.01
406.36,196.24,178.89,184.54
392.52,866.22,174.34,187.34
533.18,219.32,161.43,154.45
369.13,2246.22,160.32,182.74
343.71,198.57,165.29,173.12
426.55,203.79,175.46,160.02
295.85,213.52,183.74,165.09
337.30,220.16,176.10,168.76
552.55,391.32,188.74,189.09
281.89,648.27,201.10,186.84
537.53,197.16,195.18,191.86
419.87,415.85,191.37,201.98
445.52,498.05,192.59,189.20
296.55,456.96,190.85,183.55
417.70,299.60,191.79,189.22
385.18,457.48,194.68,186.80
567.05,302.45,198.21,185.06
533.41,644.05,195.55,187.88
394.89,233.60,195.04,191.34
325.92,464.43,200.15,190.30
409.52,552.62,197.85,196.02
416.76,279.89,199.04,200.19
302.76,237.45,197.49,199.95
576.15,235.45,200.32,199.23
391.86,235.73,197.74,202.68
417.70,234.70,200.79,203.63
490.64,237.71,202.01,202.29
480.59,236.50,201.08,201.41
