#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
278.05,218.61,132.08,165.05
277.07,218.62,132.90,163.18
375.64,219.79,132.49,166.49
700.52,221.23,134.15,160.40
485.86,228.15,133.84,158.88
347.23,230.51,134.43,169.45
587.80,227.48,133.71,160.04
534.81,228.04,135.15,168.09
604.01,229.68,134.15,164.44
368.02,581.10,134.79,166.40
509.65,211.51,135.32,170.57
380.91,213.14,137.65,169.24
369.27,215.68,142.36,177.64
509.46,219.03,142.17,182.93
575.97,216.29,143.01,187.56
578.74,215.82,143.57,181.60
716.88,214.09,144.98,173.78
350.79,214.93,143.62,174.11
525.70,216.36,144.31,172.59
516.37,215.44,145.99,172.71
778.41,214.05,147.51,176.19
607.60,213.58,147.18,176.29
277.48,214.16,148.84,174.50
370.23,213.62,150.13,176.35
735.23,214.26,148.96,175.03
281.83,217.96,152.35,173.17
279.85,216.90,153.94,172.48
329.01,216.66,148.93,178.32
317.79,217.20,148.96,182.43
382.81,216.82,150.12,181.63
554.03,216.85,151.51,180.79
283.73,216.44,149.52,183.02
313.92,219.05,148.58,182.70
784.34,218.62,147.66,183.73
343.20,218.55,148.99,179.50
592.57,217.30,147.76,179.99
424.87,217.34,149.04,177.15
448.92,217.35,154.20,177.48
400.76,215.55,155.74,167.34
841.52,213.84,149.07,157.26
431.55,215.65,145.94,157.93
766.27,212.01,146.92,160.10
468.77,215.09,145.68,152.84
489.95,338.48,146.70,155.53
522.66,292.95,147.93,162.76
526.12,343.27,146.96,159.82
560.90,291.39,146.16,155.26
416.18,255.50,147.41,152.04
300.62,253.96,148.57,154.83
919.02,251.96,148.87,151.68
951.08,252.90,149.42,153.65
299.29,251.74,147.01,155.49
326.76,252.72,147.79,152.68
417.07,254.39,149.49,153.47
336.09,254.77,149.79,151.10
304.45,257.17,149.71,150.74
344.66,256.27,148.42,156.26
1133.14,257.41,148.32,155.16
516.47,256.37,148.74,148.84
614.78,255.27,149.05,149.10
446.37,256.89,151.79,149.84
777.20,257.55,151.39,148.11
688.97,257.35,151.55,147.29
409.01,257.62,151.86,147.96
497.35,256.58,150.32,147.38
662.40,253.65,149.88,150.32
371.92,253.76,150.30,148.76
667.14,247.26,151.09,150.72
389.85,240.03,151.78,148.72
388.29,236.64,150.94,148.96
639.12,231.03,150.48,146.85
791.29,229.61,151.43,147.48
846.39,227.64,153.41,149.79
470.58,225.93,153.07,147.77
493.61,229.46,154.04,147.57
538.90,232.79,153.48,148.21
290.66,232.26,152.43,146.16
298.05,233.57,152.87,145.76
317.98,231.76,152.74,145.41
319.79,234.68,151.76,143.43
429.65,234.90,150.68,145.96
572.71,237.92,151.77,149.09
408.21,234.96,152.49,146.65
362.07,236.21,153.79,149.29
366.63,238.96,154.75,152.57
367.79,241.45,152.59,156.69
343.47,243.13,151.62,153.46
449.48,241.50,151.16,151.90
633.08,242.05,152.15,153.59
351.47,242.23,153.16,153.41
498.36,241.24,153.02,153.79
528.26,240.53,152.39,153.27
296.77,243.71,152.37,150.56
320.89,245.09,153.03,144.34
917.14,255.77,156.01,154.93
299.80,261.58,157.54,154.90
316.67,267.51,159.88,151.55
710.47,275.58,159.17,153.13
526.65,286.90,156.41,155.18
729.73,287.15,157.16,155.33
794.32,300.08,157.64,150.51
722.89,334.05,156.01,152.27
701.65,387.35,155.74,155.13
749.20,412.40,155.76,155.60
714.64,422.93,155.89,159.71
584.81,425.37,155.59,158.15
512.77,418.82,156.56,155.73
506.03,417.06,155.08,158.74
301.14,443.69,154.66,159.07
377.74,376.42,157.24,158.79
298.18,284.97,156.94,157.70
306.37,255.84,155.46,160.74
656.55,248.11,156.02,159.37
701.78,248.88,157.08,159.37
575.80,245.63,155.71,158.70
665.26,254.74,156.41,159.78
612.39,337.60,155.59,159.83
294.89,231.39,155.74,159.21
318.21,233.90,154.70,155.85
631.46,234.15,155.18,158.96
339.90,232.09,156.54,161.71
317.05,245.97,158.09,159.09
311.37,372.25,157.41,164.35
360.11,241.68,160.57,163.94
337.45,238.04,160.85,171.37
332.75,239.40,158.85,162.86
399.20,234.76,157.89,164.27
338.09,237.21,158.32,165.04
345.61,236.60,160.01,163.27
478.22,242.57,158.97,165.74
847.51,246.02,158.40,165.91
935.56,288.80,156.14,165.75
885.78,236.26,154.01,167.24
894.65,233.05,154.87,165.46
737.50,239.21,154.22,160.58
749.82,249.82,155.80,158.24
748.12,248.76,154.07,160.77
837.59,268.81,157.17,172.99
765.03,295.39,157.53,162.92
596.47,252.26,156.49,165.52
626.59,254.04,156.82,166.60
650.48,239.86,155.24,163.45
512.36,237.93,157.21,166.00
492.47,239.10,155.65,168.65
480.88,240.10,156.58,169.92
482.07,239.05,155.56,168.82
506.96,240.49,156.41,170.91
530.48,240.77,156.59,179.18
692.09,240.01,154.62,180.43
535.14,240.12,155.50,179.76
367.04,240.79,157.61,177.38
370.70,242.17,158.12,164.38
411.36,244.50,157.53,157.27
662.27,251.02,156.70,166.37
541.80,254.36,157.85,165.68
546.45,256.08,157.69,166.87
553.27,261.14,158.04,167.66
657.56,268.58,157.24,170.70
952.86,275.23,158.37,172.05
454.70,280.20,159.09,169.34
452.95,282.48,157.76,169.91
474.51,280.95,157.66,170.90
579.69,284.51,158.98,174.38
595.23,284.82,158.57,175.46
