#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
2370.05,3239.10,2521.73,2821.42
2370.35,3267.37,2535.13,2783.68
2366.74,3575.71,2668.24,2739.58
2363.78,3594.53,2734.24,2723.53
2365.59,3689.25,2648.11,2731.89
2371.68,3617.17,2586.62,2748.47
2403.49,3727.36,2692.45,2743.92
2404.74,3677.74,2704.84,2736.20
2393.89,3658.44,2748.49,2790.00
2381.63,3762.72,2720.68,2739.93
2385.90,3818.25,2816.57,2495.81
2402.64,3881.64,2770.70,2844.17
2407.12,3908.52,2692.82,2822.42
2384.70,3579.50,2724.53,2751.53
2360.21,3550.23,2734.24,2815.09
2371.61,3780.37,2783.28,2837.94
2367.73,3790.29,2718.94,2777.25
2363.88,3804.02,2807.16,2820.10
2353.41,3912.01,2797.80,2784.16
2354.22,3690.40,2743.10,2791.94
2339.23,3695.53,2709.65,2829.75
2331.40,3523.90,2682.75,2823.96
2346.99,3476.56,2787.43,2824.25
2431.25,3620.78,2744.18,2797.59
2440.14,3811.80,2750.99,2790.67
2449.42,3530.97,2763.80,2787.10
2451.61,3564.35,2744.16,2750.20
2450.53,3362.95,2710.26,2770.43
2457.93,3507.27,2715.12,2779.35
2467.69,3449.28,2683.82,2712.50
2461.23,3455.48,2686.38,2723.37
2481.47,3441.76,2711.36,2733.40
2477.23,3442.11,2769.24,2788.23
2512.21,3447.45,2744.09,2759.93
2438.94,3455.30,2808.59,2719.25
2462.32,3456.89,2778.12,2696.25
2465.80,3448.19,2784.82,2699.27
2454.37,3403.41,2696.75,2868.37
2484.53,3500.70,2713.76,2882.02
2499.96,3520.96,2791.17,2894.76
2498.66,3470.78,2744.49,2887.08
2542.20,3381.53,2825.48,2971.06
2526.98,3394.00,2810.69,3005.28
2517.16,3409.46,2816.73,2907.11
2476.85,3500.53,2837.69,3047.85
