#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
326.69,327.05,322.90,180.01
314.30,329.94,318.77,180.82
374.61,401.71,323.60,174.52
490.53,381.43,322.80,176.21
764.01,305.86,329.72,171.74
348.81,309.14,327.31,175.25
555.58,303.94,324.76,177.68
381.91,343.68,401.01,178.32
418.86,378.78,489.61,197.21
432.98,381.55,476.21,201.54
423.12,380.55,504.23,198.40
342.17,384.91,536.61,219.21
545.21,379.90,534.17,348.51
498.73,420.74,537.34,279.21
439.77,395.99,514.45,224.76
692.41,554.77,462.90,202.21
416.99,354.20,428.11,189.95
354.57,361.48,419.14,195.45
499.45,438.24,391.27,185.22
348.51,334.79,391.76,199.23
461.12,366.48,418.35,223.52
352.93,517.11,509.68,238.12
368.78,4115.48,514.78,221.30
472.55,4115.48,477.36,226.35
514.10,522.43,493.65,225.88
384.68,387.42,485.36,217.46
372.77,394.45,480.91,228.87
374.33,391.03,458.07,221.43
389.49,387.88,471.97,224.09
480.30,388.14,457.99,227.62
407.27,358.89,406.05,218.81
378.29,335.06,378.81,190.24
390.40,310.39,416.44,203.99
499.20,309.45,438.56,189.55
438.93,305.52,421.15,191.71
615.34,463.67,420.05,205.70
336.13,363.65,453.12,220.45
325.90,364.91,458.64,228.99
336.32,335.44,440.90,238.18
336.05,336.75,444.14,245.10
314.86,323.70,417.71,240.58
316.23,326.33,416.20,247.85
317.01,328.46,419.17,250.87
319.82,334.14,426.76,252.85
316.42,334.55,432.07,252.90
316.21,332.88,426.70,251.48
348.07,332.42,429.08,252.91
374.05,329.30,395.59,239.04
540.70,367.58,419.48,243.73
335.23,364.58,415.35,238.39
458.39,356.45,411.04,238.55
375.56,332.52,407.01,238.90
330.78,334.62,373.10,239.65
333.85,327.27,384.29,228.74
334.92,325.42,380.08,229.79
336.39,322.01,375.70,230.21
343.39,322.17,376.08,225.59
336.49,319.59,371.96,219.96
336.70,319.99,365.09,222.96
334.86,321.19,371.15,215.49
329.61,319.58,367.80,219.85
328.27,320.18,367.04,218.15
336.04,321.36,365.55,221.88
340.47,318.45,367.14,221.16
332.65,318.76,365.19,223.37
333.99,317.64,362.04,234.67
334.98,318.11,362.18,223.88
336.49,317.43,362.05,221.91
347.22,312.55,362.58,222.07
343.52,312.03,362.67,221.85
434.86,320.24,362.48,226.38
471.33,331.39,377.04,244.20
469.93,381.99,429.57,241.65
401.36,545.59,450.08,284.13
424.05,369.49,441.18,244.74
505.26,463.72,444.11,252.42
378.64,375.66,453.50,274.62
483.95,381.22,527.26,292.90
459.62,566.84,590.22,294.08
600.76,541.88,471.46,235.71
473.10,3353.43,470.44,237.52
484.52,4115.48,447.83,216.82
366.28,4115.48,405.92,224.02
405.52,4115.48,418.64,234.68
404.73,4115.48,419.61,223.13
481.31,4115.48,456.42,263.52
448.74,4115.48,439.61,271.50
389.42,4115.48,563.98,305.60
413.28,4115.48,757.11,351.51
392.16,4115.48,723.62,326.89
412.58,824.01,686.70,295.29
490.92,502.43,550.58,241.53
414.65,425.24,549.31,232.63
501.94,423.32,541.34,235.70
423.92,397.43,504.05,239.32
400.80,552.15,581.10,259.17
409.84,643.16,576.45,291.12
412.73,406.11,589.06,299.52
405.39,532.97,594.85,291.20
415.94,580.74,600.57,288.98
406.50,432.96,608.52,286.33
410.55,427.89,603.45,287.96
411.05,433.67,609.99,287.43
449.64,428.52,610.92,281.26
412.73,430.77,604.60,284.23
406.77,428.33,601.01,288.06
395.45,426.57,594.51,287.23
406.05,426.57,603.30,288.69
408.49,429.95,651.14,278.65
407.14,425.32,644.75,281.33
398.44,421.74,641.09,281.98
401.98,414.26,619.93,288.42
403.17,416.65,596.14,285.06
399.42,422.26,615.96,280.92
392.58,430.32,589.86,272.97
395.93,441.93,612.96,276.76
396.42,443.05,625.02,276.10
398.39,451.61,628.56,294.09
404.55,448.62,636.01,290.33
403.24,441.52,631.48,286.51
583.26,485.61,614.08,288.30
415.51,478.93,635.71,293.76
419.01,512.99,663.24,302.30
449.43,451.48,652.28,331.77
480.80,507.64,670.22,336.96
459.77,4115.48,627.86,368.43
603.33,3377.28,772.37,358.58
481.97,440.53,645.10,304.51
428.38,372.96,613.23,291.87
520.10,311.60,487.84,273.72
459.23,4079.99,482.88,264.44
440.82,326.77,468.01,254.82
470.83,290.09,466.35,250.59
427.83,314.74,489.71,255.23
427.33,423.46,488.38,270.80
418.68,470.55,492.36,264.20
420.45,3785.18,523.86,272.59
432.65,4115.48,488.30,251.87
453.68,4115.48,493.42,257.05
439.23,374.21,500.48,260.23
434.70,364.23,505.84,284.25
425.99,328.00,499.24,284.60
422.73,337.05,558.71,284.42
510.73,340.80,580.09,304.01
438.13,333.37,580.57,303.90
420.98,332.48,578.59,307.29
524.41,336.95,578.73,304.26
492.83,400.42,568.70,292.23
501.96,337.73,565.64,286.95
452.86,338.36,565.13,292.02
449.36,337.73,556.49,305.96
436.83,337.47,557.59,304.82
527.57,338.55,567.84,296.51
419.01,340.70,572.43,296.65
575.95,339.31,566.50,293.17
413.70,341.02,572.16,280.29
418.55,567.95,601.89,245.12
424.46,4115.48,573.10,254.81
413.55,4115.48,585.13,262.82
454.52,4115.48,592.26,254.54
496.70,4115.48,590.39,252.68
475.25,4115.48,591.49,252.16
480.70,4115.48,591.01,254.44
495.82,4115.48,585.09,273.17
