#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
1922.02,3003.65,2538.52,1929.94
1920.11,3002.81,2523.19,1937.06
1923.75,2998.94,2557.57,1907.12
1922.41,3000.91,2587.54,1882.53
1918.59,3009.28,2560.48,1926.40
1918.10,3007.71,2504.29,1948.04
1915.53,3009.15,2567.00,1970.40
1903.23,3017.60,2536.09,1957.14
1908.71,3076.70,2575.53,2088.13
1913.10,3018.58,2640.98,2319.38
1887.63,2990.58,2693.97,2302.25
1845.14,3050.03,2559.75,2146.18
1861.91,3037.09,2553.32,2172.06
1890.91,3151.08,2551.01,2168.92
1874.31,3310.32,2536.20,2167.04
1882.20,3045.54,2527.58,2145.55
1876.18,3034.37,2516.11,2269.48
1880.60,3243.25,2556.29,2158.30
1873.71,3402.80,2519.01,2178.50
1868.93,3358.32,2616.64,2181.53
1806.90,3291.33,2571.80,2175.88
1808.72,3203.23,2566.60,2202.02
1803.04,3220.02,2567.10,2144.76
1820.07,3329.77,2595.13,2118.91
1825.49,3148.69,2551.93,2103.53
1841.02,3037.50,2505.08,2118.67
1830.61,2953.55,2507.91,2119.24
1845.63,2942.99,2508.92,2122.26
1872.51,3123.86,2509.58,2096.49
1863.54,3297.54,2527.95,2193.42
1863.81,3281.68,2546.04,2148.86
1857.35,3281.64,2547.98,2212.22
1849.22,3268.39,2560.32,2223.59
1834.32,3128.39,2557.00,2222.00
1834.60,3100.45,2572.47,2124.57
1839.03,3118.70,2547.73,2073.94
1846.22,3127.75,2588.92,2072.23
1845.70,3135.51,2571.22,2063.94
1854.48,3106.14,2568.95,2065.95
1840.43,3105.60,2600.89,2046.27
1831.97,3100.75,2598.01,2032.98
1832.24,3125.43,2590.35,1985.66
1824.29,3118.61,2595.76,1975.01
1825.06,3116.70,2589.65,1977.60
1825.90,3119.34,2582.76,1979.89
1827.71,3113.81,2519.73,1979.55
1799.00,3109.34,2528.80,1982.24
1794.80,3112.30,2526.81,1987.31
1833.34,3115.00,2534.47,1950.28
1836.39,3176.82,2528.93,1929.43
1790.92,3148.00,2612.54,1967.74
1800.06,3201.47,2611.94,1992.18
1815.46,3283.51,2597.45,1959.15
1784.20,3122.91,2576.75,1988.56
1790.74,2941.81,2514.13,1921.77
1780.33,2919.34,2502.94,1923.04
1776.27,2916.04,2496.59,1892.09
1778.02,2938.09,2494.03,1903.27
1766.36,2962.38,2488.85,1901.39
1768.94,2983.26,2493.09,1900.42
1768.11,2975.15,2475.05,1898.95
1770.81,2975.13,2475.85,1901.61
1780.56,3038.14,2521.92,1913.13
1769.92,3025.46,2538.99,1893.94
1758.79,3011.82,2639.89,1881.93
1808.43,2995.79,2638.89,1965.42
1795.23,2929.02,2615.88,2003.89
1793.33,2969.79,2697.51,2001.84
1796.94,3028.75,2649.53,1989.35
1796.14,3012.97,2674.10,1950.72
1798.20,3018.57,2706.46,1942.19
1799.91,3008.21,2694.39,1923.46
1798.22,3178.94,2802.72,1938.35
1799.02,3166.97,2689.09,1921.09
1802.41,3067.02,2625.95,1944.91
1818.48,3042.32,2617.37,2029.31
1798.93,3040.30,2647.26,2100.23
1793.60,3086.43,2634.46,2111.44
1790.93,3119.81,2643.95,2068.79
1792.74,3123.86,2604.09,2038.36
1788.26,3165.41,2620.45,2034.20
1787.70,3168.33,2636.13,2069.47
1787.37,3189.71,2806.72,2067.16
1783.57,3198.31,2783.83,2104.30
1777.53,3205.58,2725.02,2097.75
1780.96,3176.80,2738.75,2114.49
1778.07,3186.82,2731.23,2134.78
1802.75,3081.69,2714.05,2158.66
1862.53,3145.92,2707.76,2351.88
1862.23,3185.46,2657.02,2270.16
1853.41,3204.43,2630.61,2268.11
1858.94,3235.14,2656.92,2291.63
1848.38,3299.55,2634.61,2299.67
1843.17,3322.16,2667.94,2261.85
1830.37,3299.26,2550.55,2264.85
1838.48,3192.40,2677.17,2226.18
1839.13,3050.83,2644.19,2268.98
1836.35,3018.05,2637.26,2324.48
1843.97,2960.63,2630.50,2266.96
1837.13,2983.41,2634.50,2317.41
1856.05,3374.82,2680.52,2420.33
1876.30,3388.22,2640.63,2482.58
1884.83,3187.00,2651.85,2450.50
1882.14,3292.46,2684.72,2345.23
1899.56,2984.53,2706.14,2496.14
1909.12,3262.84,2696.30,2433.41
1911.94,3233.68,2699.71,2418.17
1912.02,3248.85,2703.30,2382.25
1928.02,3209.29,2689.77,2431.75
1929.25,3212.34,2701.30,2350.52
1943.55,3204.07,2695.11,2353.87
1952.06,3212.04,2678.36,2393.02
1951.58,3131.04,2689.03,2419.73
1939.17,3013.89,2701.98,2431.57
1930.69,3001.42,2701.05,2417.24
1928.94,3019.59,2706.53,2485.59
1980.15,2922.28,2852.29,2577.71
1977.73,2933.20,2852.76,2388.41
1970.94,2892.53,2852.88,2355.55
1951.97,2918.77,2806.67,2362.18
2008.40,2955.41,2769.92,2304.53
2013.73,2937.76,2836.11,2239.15
1995.72,2920.75,2796.25,2300.68
1988.17,2969.44,2812.45,2364.43
2000.13,3323.73,2864.95,2342.33
2002.99,3343.59,2790.01,2374.80
2003.60,3316.61,2663.57,2359.80
2000.91,3107.91,2724.97,2437.60
1967.46,3170.03,2724.76,2419.32
1954.60,3308.36,2717.91,2370.31
2011.54,3258.06,2665.66,2711.92
2142.97,3246.62,2766.69,3210.59
2217.11,3687.52,2824.48,3567.30
2196.21,3476.01,2810.04,3586.45
2233.47,3396.15,2693.40,3139.69
2123.54,3291.95,2560.23,2962.97
2174.08,3533.61,2637.89,2967.99
2151.00,3298.01,2576.76,2993.91
2161.40,3283.39,2677.57,2910.21
2158.56,3009.34,2672.52,2899.90
2095.53,3024.83,2631.41,2882.76
2120.25,3369.51,2720.71,2662.48
2119.08,3331.77,2723.29,2732.73
2118.85,3243.47,2712.13,2814.23
2121.23,3367.67,2680.80,2903.30
2119.10,3335.39,2716.26,2656.05
2112.53,3363.21,2764.49,2684.29
2104.57,3367.86,2763.54,2653.39
2100.48,3372.90,2691.27,2684.26
2104.05,3354.73,2634.00,2670.90
2100.06,3348.03,2681.91,2677.35
2110.40,3334.25,2706.85,2634.13
2111.66,3324.72,2711.02,2628.79
2099.15,3321.86,2704.23,2625.33
2111.73,3205.81,2734.73,2692.48
2099.11,3383.21,2800.90,2714.99
2107.11,3371.92,2791.64,2941.73
2102.73,3378.15,2769.22,2778.62
2099.09,3428.27,2767.16,2778.39
2091.63,3433.71,2769.07,2741.22
2098.34,3419.61,2764.17,2753.33
2101.10,3430.63,2768.52,2717.28
2100.58,3417.31,2772.32,2776.95
2097.93,3415.11,2762.92,2933.45
2096.83,3357.95,2740.74,2747.65
