#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
864.84,584.59,1243.99,723.52
877.43,602.49,1251.30,710.20
877.01,604.87,1252.73,724.73
890.51,617.07,1266.14,730.97
888.68,616.83,1266.18,739.74
874.84,611.64,1229.23,733.97
880.58,608.03,1246.23,753.76
888.37,598.54,1241.01,746.06
889.99,594.70,1294.49,741.22
886.07,593.43,1248.89,716.53
875.70,591.49,1249.71,762.58
867.59,590.14,1288.41,756.93
873.23,587.98,1292.00,756.78
886.76,593.97,1270.66,763.26
887.02,606.65,1280.81,783.16
890.07,611.66,1254.25,784.86
885.61,615.36,1273.48,790.23
903.53,612.73,1286.81,797.83
922.49,613.97,1241.56,805.17
910.76,616.60,1253.81,813.94
903.57,618.86,1255.05,821.43
903.12,614.57,1240.93,802.55
901.55,615.01,1248.82,815.22
882.48,614.62,1259.09,826.14
887.60,612.35,1305.54,760.19
881.78,614.22,1291.91,732.76
875.93,614.41,1283.88,753.79
877.88,608.20,1297.49,740.65
882.95,615.76,1304.02,725.82
881.79,624.56,1274.54,729.66
896.66,605.24,1300.99,729.94
894.32,580.73,1300.09,722.07
897.99,590.98,1283.92,707.18
905.76,581.82,1296.88,728.37
905.04,606.12,1301.60,752.46
903.74,606.37,1298.01,764.34
908.49,619.39,1268.17,761.09
906.49,618.91,1269.84,774.87
903.49,619.68,1266.31,792.97
911.67,620.33,1256.44,770.80
909.91,622.86,1266.83,785.02
909.31,624.45,1273.54,772.81
909.22,628.66,1260.80,770.61
913.98,641.49,1236.00,766.64
915.18,643.52,1297.98,790.96
922.90,636.85,1318.77,817.62
929.04,633.44,1304.27,817.84
930.07,634.73,1302.81,798.51
923.84,635.98,1304.04,792.85
928.46,636.71,1304.08,795.97
926.31,636.37,1346.74,806.98
927.42,633.12,1330.94,824.05
928.05,633.56,1325.97,817.47
929.53,632.83,1336.81,812.17
924.49,632.91,1331.98,826.54
927.26,635.69,1379.89,819.11
927.15,632.76,1394.93,855.36
923.54,632.98,1392.23,864.01
927.55,631.52,1375.45,841.15
924.73,632.74,1396.10,831.15
924.00,633.71,1398.54,830.66
921.17,631.52,1399.11,836.70
920.65,629.56,1395.99,845.15
921.34,630.26,1395.44,844.12
919.17,631.63,1397.06,829.98
919.64,632.03,1399.11,835.53
919.97,630.47,1397.73,822.22
917.93,630.97,1396.05,822.88
918.66,630.75,1392.55,825.28
918.11,630.77,1390.16,841.99
918.32,629.40,1389.36,843.77
919.69,626.78,1390.25,841.84
922.65,624.21,1389.23,841.28
920.39,625.86,1388.16,835.31
916.23,627.58,1387.33,831.59
918.38,627.16,1388.06,830.03
923.41,629.39,1385.02,870.80
921.82,633.40,1382.10,889.21
922.79,631.72,1356.71,852.73
920.74,630.16,1387.03,839.99
924.22,635.76,1385.57,864.43
922.16,632.87,1383.14,888.10
921.97,634.59,1381.31,861.68
921.90,635.36,1384.04,857.20
924.53,634.34,1379.74,863.91
923.59,634.32,1381.02,860.87
